X,Y,ID,RA_NE,Name,Village,Sub_Distri,District,Province,Latitude,Longitude,Cluster_Nu,Type_,Year_,Funds_Reci,Constructi
107.0415,-6.37711111099992,MT-PB0001,MoRA,Yayasan Nurul Huda,Jln. Setu Kojengkang Cikarageman Rt 014/16 III,Setu,Bekasi,Jawa Barat,     -6.37711111100,    107.04150000000,2,MT-PB,2006,"1,646,693,000.00",M
109.395222200000035,-7.700222221999923,MT-PB0002,MoRA,PP. Al Ikhsan,Jl. Raya Pantai Logending KM 2 Gua Petruk Desa Candirenggo,Ayah,Kebumen,Jawa Tengah,     -7.70022222200,    109.39522220000,2,MT-PB,2006,"1,494,362,000.00",M
109.688583300000062,-7.625555555999938,MT-PB0003,MoRA,PP. Al Azhar,Jl. Pemandian Desa Kalijaya,Alian,Kebumen,Jawa Tengah,     -7.62555555600,    109.68858330000,2,MT-PB,2006,"1,576,784,000.00",M
110.781361100000026,-6.722444443999962,MT-PB0004,MoRA,PP. Roudlotul Mubtadiin,Balekambang Gemiring Lor Desa Bandung Rejo,Nalumsari,Jepara,Jawa Tengah,     -6.72244444400,    110.78136110000,2,MT-PB,2006,"1,547,883,000.00",M
113.472713900000031,-6.997038888999953,MT-PB0005,MoRA,PP. Bustanus Sibyan,Desa Bulmatet,Karang Penang,Sampang,Jawa Timur,     -6.99703888900,    113.47271390000,2,MT-PB,2006,"1,488,000,000.00",M
105.07933330000003,-5.325,MT-PB0006,MoRA,PP. Al Ishlah (Negri Katon),Desa Kalirejo,Negeri Katon,Pesawaran,Lampung,     -5.32500000000,    105.07933330000,1,MT-PB,2006,"1,408,532,000.00",M
105.073333300000058,-4.068333332999941,MT-PSA0001,MoRA,PP. Darusalam,Desa Tugu Mulyo,Lempuing,Ogan Komering Ilir,Sumatera Selatan,     -4.06833333300,    105.07333330000,1,MT-PSA,2006,"1,038,180,000.00",M1
104.904166700000076,-4.285277777999909,MT-PSA0002,MoRA,Yayasan Pendidikan Islam Darul Huda,Desa Lubuk Harjo,Semendawai Suku III,Ogan Komering Ulu Timur,Sumatera Selatan,     -4.28527777800,    104.90416670000,1,MT-PSA,2006,"1,026,769,000.00",M1
104.538888900000074,-4.410277777999909,MT-PSA0003,MoRA,PP. Darussalamah,Desa Tebat Jaya,Madang Suku,Ogan Komering Ulu Timur,Sumatera Selatan,     -4.41027777800,    104.53888890000,1,MT-PSA,2006,"604,879,000.00",M2
104.981111100000078,-3.922222221999959,MT-PSA0004,MoRA,PP. Nurul Huda,Desa Sinar Harapan Mulya,Tanjung Lubuk,Ogan Komering Ilir,Sumatera Selatan,     -3.92222222200,    104.98111110000,1,MT-PSA,2006,"1,037,491,000.00",M1
