Client Name,Lobbyist Trading Name
2nd Change Fundraising Program,Colleen Forrester & Associates
3 Com,Chikarovski & Associates Pty Ltd
7-Eleven Stores Pty Ltd,Edelman
A2 Dairy Products Australia,Res Publica Pty Ltd
A4e,Parker & Partners Public Affairs
AA Crown Holdings Pty Ltd,Margaret Fisher & Associates
ABB Grain Ltd / Joe White Maltings,Government Relations Australia Advisory Pty Ltd
ABN AMRO,Kreab Gavin Anderson
ACCIONA Energy,Government Relations Australia Advisory Pty Ltd
ACCIONA Group,Government Relations Australia Advisory Pty Ltd
ACL Pty Ltd,Hawker Britton Group
ACM Group,CPR Communications & Public Relations Pty Ltd
AFL (NSW/ACT),TJM Consulting
AFUW-Q,Colleen Forrester & Associates
AGL,MacGregor Public Relations
AGL Energy Limited,Government Relations Australia Advisory Pty Ltd
AGL Gas Production (Camden) Pty Ltd,Peter Anderson & Co Pty Ltd
AGM Constructions Pty Ltd,Doyle Cunningham & Associates
AHL,Chikarovski & Associates Pty Ltd
AICD,Kreab Gavin Anderson
AMP CSC,Bluegrass Consulting
AMP Limited,Hawker Britton Group
AMPAG,Statecraft
ANZ Limited,John Connolly & Partners
APA Group,Hawker Britton Group
APHA,Kreab Gavin Anderson
APMG - Australia,Kreab Gavin Anderson
ATM Industry Reference Group,Kreab Gavin Anderson
AVJennings,CPR Communications & Public Relations Pty Ltd
Abigroup Contractors Pty Limited,Hawker Britton Group
Aboriginal Health College,CPR Communications & Public Relations Pty Ltd
Accenture,Profile Ray & Berndtson
Accenture Australia,CPR Communications & Public Relations Pty Ltd
Access Testing Pty Ltd,Hawker Britton Group
Accor Advantage Plus,Brian Dale & Partners
Acoustica Australia,Philippine Commerce and Trade Advisory Service
Active Group of Companies,CPR Communications & Public Relations Pty Ltd
Adelaide Equity Partners Ltd,GR Solutions
Adults Surviving Child Abuse,Government Relations Australia Advisory Pty Ltd
Advance – Global Australians. Global Networks,Hawker Britton Group
Air New Zealand,CPR Communications & Public Relations Pty Ltd
Air and Mine Equipment Institute of Australasia,The Fifth Estate
Airport Motorway Limited,Transurban
Airportlink Company,Salmon Communications
Airwave Solutions Australia,Government Relations Australia Advisory Pty Ltd
Alba Capital Partners,Government Relations Australia Advisory Pty Ltd
All Recruiting Services Pty Ltd,Herbert Geer
Allergan Australia,Government Relations Australia Advisory Pty Ltd
Ally Group Pty Ltd,Hawker Britton Group
Almona Pty Ltd,Herbert Geer
Altrinsic Global Advisors,Ambassador Funds Management Services
American Express,Republic Consulting
Anglican Church,Health Properties Project Marketing
Anglican Retirement Villages,Brian Dale & Partners
Angus Knight,Edelman
Ansaldo - STS,The Agenda Group NSW
Apple,Kreab Gavin Anderson
Ardill Payne & Partners,Margaret Fisher & Associates
Are You OK? Day,Hawker Britton Group
Area E Landowners Group,Hawker Britton Group
Aristocrat Technologies,Hawker Britton Group
Armaguard,Endeavour Consulting Group Pty Ltd
Ashington,Wilkinson Media
Aspen Medical,Hawker Britton Group
Association of Australian Medical Research Institutes (AAMRI),Carney Associates
Association of Independent Schools NSW,Hawker Britton Group
Astra Zeneca Pty Ltd,Profile Ray & Berndtson
AstraZeneca,Parker & Partners Public Affairs
Atlantis,Touchpoint Australia
Ausbiotech,DatelineMedia Group Pty Ltd
Ausra Pty Ltd,DatelineMedia Group Pty Ltd
Ausra Pty Ltd,Wayne Smith
Austar Coal Mine,FordComm Consulting Pty Ltd
Austar Coal Mine Pty Ltd,The Fifth Estate
Austech Institute for Further Education,Chikarovski & Associates Pty Ltd
Austmark Properties No. 3 Pty Ltd,Herbert Geer
Australand,Statecraft
Australasian College of Cosmetic Surgery,Advise
Australasian Regional Association of Zoos and Aquaria,AegisConsultingAustralia Pty Ltd
Australia Pacific Touring Pty Ltd,AegisConsultingAustralia Pty Ltd
Australia Post,Hawker Britton Group
Australia-Taiwan Business Council,Leisure Solutions®
Australian Associated Press,Richardson Coutts Pty Ltd
Australian Association of National Advertisers (AANA),Res Publica Pty Ltd
Australian Bookmakers Association,Peter Fletcher
Australian Capital Equity,LESL Services Pty Limited
Australian Children’s Music Foundation,Statecraft
Australian Council for Private Education and Training,Wilkinson Media
Australian Council of Recyclers,CPR Communications & Public Relations Pty Ltd
Australian Council of Recyclers,Hawker Britton Group
Australian Egg Corporation,Kreab Gavin Anderson
Australian Geoparks Network,Leisure Solutions®
Australian Home Heating Association Inc,David Utting Communications
Australian Hotels Association,CMW Media Pty Ltd
Australian Institute Applied Science,Open Door Consulting
Australian Institute of Company Directors,Parker & Partners Public Affairs
Australian Jockeys Association,Essential Media Communications
Australian LPG Association Ltd,Wilkinson Media
Australian Landfill Owners Association,Parker & Partners Public Affairs
Australian Lung Foundation,Burson-Marsteller
Australian Motor Sport Foundation Ltd,Endeavour Consulting Group Pty Ltd
Australian Music Association,CPR Communications & Public Relations Pty Ltd
Australian Newsagents Federation,Forbes Shardlow Pty Ltd
Australian Nursing Federation,CPR Communications & Public Relations Pty Ltd
Australian Payments Clearing Association,John Connolly & Partners
Australian Portable Buildings,Hawker Britton Group
Australian Publishers Association,Hawker Britton Group
Australian Racing Drivers Club Limited,Hawker Britton Group
Australian Rail Track Corporation,Brian Dale & Partners
Australian Rain Corp,Australian Public Affairs Ltd Partnership
Australian Rain Corporation Pty Ltd,The Fifth Estate
Australian Rugby League,Enhance Corporate
Australian Salary Medical Officers Federation,Essential Media Communications
Australian Self Medication Industry,Foresight Communications
Australian Services Union,Essential Media Communications
Australian Steel Institute,Kreab Gavin Anderson
Australian Tamil Congress,Australian Public Affairs Ltd Partnership
Australian Waste Oil Refineries,Repute Communications & Associates Pty Ltd
Australian Water Holdings,Jackson Wells Pty Ltd
Australian and International Pilots Association,Essential Media Communications
BBPP Ltd,Kreab Gavin Anderson
BG Group,Government Relations Australia Advisory Pty Ltd
BHIG Project,Touchpoint Australia
BHP Billiton,Richardson Coutts Pty Ltd
BHP Billiton Ltd,John Connolly & Partners
BOC South Pacific,Primary Communication
BRGOC Wastenergy Pty Ltd,CPR Communications & Public Relations Pty Ltd
Baileys Marine Fuels Australia,Hawker Britton Group
Bamboo,Touchpoint Australia
Barrick Gold,Hawker Britton Group
Barrick Gold Australia Pacific,Repute Communications & Associates Pty Ltd
Baseplan Software Pty Limited,Forbes Shardlow Pty Ltd
Bass & Flinders Ferries,CMW Media Pty Ltd
Bayer Schering Pharma,CPR Communications & Public Relations Pty Ltd
Beach Petroleum Ltd,GR Solutions
Bell Shakespeare,Parker & Partners Public Affairs
Bellevue Hill Public Scholl P&C,Hawker Britton Group
Belongil Preservation Society,Kreab Gavin Anderson
Benchmark Australia,Enhance Corporate
Berowra Waters Marina P/L,Graham Richardson
Betfair Australia,Government Relations Australia Advisory Pty Ltd
Better Place Australia,Kreab Gavin Anderson
Bickham Coal,Repute Communications & Associates Pty Ltd
Bilfinger Berger Project Investments Pty Ltd,Government Relations Australia Advisory Pty Ltd
Bilfinger Berger Services,Profile Ray & Berndtson
Bilfinger Berger Services (Aust) Pty Ltd,Government Relations Australia Advisory Pty Ltd
Billnudgel Property Trust,Hawker Britton Group
Bio Power Systems,Ally Group
Biotronik Australia Pty Ltd,Bramex Pty Ltd
Biotronik GmbH (Germany),Bramex Pty Ltd
Blacktown Property Investments Pty Ltd,Enhance Corporate
Bloomfield Collieries,Richardson Coutts Pty Ltd
Blue Line Cruises,AegisConsultingAustralia Pty Ltd
BlueMaxx,AusAccess Pty Ltd
BlueScope Steel,Kreab Gavin Anderson
Bluegrass Consulting,Ally Group
Bombardier Transportation Australia,Hawker Britton Group
Boral Development,CPR Communications & Public Relations Pty Ltd
Boral Timber,The Fifth Estate
Boveri Defence Systems,Richardson Coutts Pty Ltd
Bowport Allroads Transport,John Durst Consulting
Bradcorp,Graham Richardson
Brain and Mind Research Institute,Hawker Britton Group
Breen Holdings Ltd.,Statecraft
Brian Russell Group of Companies (BRGOC),CPR Communications & Public Relations Pty Ltd
Bridge Business College,Salmon Communications
Bright Blue Solutions,Richardson Coutts Pty Ltd
Brisbane Airport Corporation,CPR Communications & Public Relations Pty Ltd
Bristol-Myers Squibb,Parker & Partners Public Affairs
Broadcast Australia,Government Relations Australia Advisory Pty Ltd
Broadlex Services Pty Ltd,Hawker Britton Group
Brookfield Multiplex,CPR Communications & Public Relations Pty Ltd
